__pts_x_0,,,,,,array,"=array([__x for __x,__y in table_eff_of_carb_sufficiency_on_carbox])",
__pts_x_1,,,,,,array,"=array([__x for __x,__y in table_eff_of_possible_fatox])",
__pts_y_0,,,,,,array,"=array([__y for __x,__y in table_eff_of_carb_sufficiency_on_carbox])",
__pts_y_1,,,,,,array,"=array([__y for __x,__y in table_eff_of_possible_fatox])",differences
activ_time,0,0,0,0,0,,,0
activ_time_data,0,0,0,0,0,,,0
activ_time_param,0,0,0,0,0,,,0
activity_efficiency,1,1,1,1,1,,,0
activity_energy_per_body_weight,0.01331353,0.01331353,0.01331353,0.01331353,0.01331353,,,-3.64292E-17
activity_energy_spent_per_body_weight,0.01331353,0.01331353,0.01331353,0.01331353,0.01331353,,,-3.64292E-17
actual_carbox,387.6828646,391.3504325,391.6150249,391.8381447,392.0251599,,,3.667567873
actual_fatox,103.7544972,115.9766805,115.8864397,115.8010248,115.7197537,,,12.22218321
actual_protox,85.11556848,107.9952366,107.8583451,107.7248153,107.5942021,,,22.87966816
adaptive_thermogenesis,0,0,0,0,0,stock,#VALUE!,0
aminoacid_mass,110,110,110,110,110,,,0
basal_rmr_efficiency,1,1,1,1,1,,,0
basal_rmr_of_lean_tissues,0.0239374,0.0239374,0.0239374,0.0239374,0.0239374,,,0
base_bone_mass,2800,2800,2800,2800,2800,,,0
base_carb,400,400,400,400,400,,,0
base_deg_c,180,180,180,180,180,,,0
base_gng_p,100,100,100,100,100,,,0
base_molar_lipolysis,0.16,0.16,0.16,0.16,0.16,,,0
base_rmr_brain,0.24,0.24,0.24,0.24,0.24,,,0
base_rmr_fat,0.0045,0.0045,0.0045,0.0045,0.0045,,,0
baseline_activity_energy_per_body_weight,0.01331353,0.01331353,0.01331353,0.01331353,0.01331353,,,-3.64292E-17
baseline_basal_rmr_of_lean_tissues,0.0239374,0.0239374,0.0239374,0.0239374,0.0239374,,,0
baseline_bodyweight,70000,70000,70000,70000,70000,,,0
baseline_carbohydrate_intake,1500,1500,1500,1500,1500,,,0
baseline_ecw,18375,18375,18375,18375,18375,,,0
baseline_fat,5075,5075,5075,5075,5075,,,0
baseline_fat_intake,1000,1000,1000,1000,1000,,,0
baseline_gng_fat_endog,61.5296,61.5296,61.5296,61.5296,61.5296,,,0
baseline_lean_mass,64925,64925,64925,64925,64925,,,0
baseline_metabolizable_energy_intake,3000,3000,3000,3000,3000,,,0
baseline_protein,8757.72,8757.72,8757.72,8757.72,8757.72,,,0
baseline_protein_intake,500,500,500,500,500,,,0
baseline_proteolysis,300.3,300.3,300.3,300.3,300.3,,,0
body_weight,70000,79525,79484.49151,79442.88178,79400.35108,,,9525
c_init,400,400,400,400,400,,,0
cal_dens_c,4.18,4.18,4.18,4.18,4.18,,,0
cal_dens_f,9.44,9.44,9.44,9.44,9.44,,,0
cal_dens_p,4.7,4.7,4.7,4.7,4.7,,,0
carb,400,400,402.8170175,405.222975,407.2727963,stock,,0
carb_sufficiency,1.031771163,1.022101847,1.028604604,1.034159079,1.038894535,,,-0.009669315
carb_term,3.881524613,3.881524613,3.885532069,3.888954692,3.891870644,,,0
carbohydrate_intake,1500,1500,1500,1500,1500,,,0
carbohydrate_intake_data,0,0,0,0,0,,,0
cell_mass,43750,52187.5,52153.47051,52118.1767,52081.81678,,,8437.5
cell_mass_b,43750,43750,43750,43750,43750,,,0
change_in_carbohydrate_intake,0,0,0,0,0,,,0
change_in_protein_intake,0,0,0,0,0,,,0
ci,358.8516746,358.8516746,358.8516746,358.8516746,358.8516746,,,0
ci_0,1500,1500,1500,1500,1500,,,0
ci_input,1500,1500,1500,1500,1500,,,0
ciw,12029.56,12029.56,12029.56,12029.56,12029.56,,,0
deg_cost_p,0.172727,0.172727,0.172727,0.172727,0.172727,,,0
delay_in_adaptive_thermogenesis,7,7,7,7,7,,,0
dep_cost_c,0.211111,0.211111,0.211111,0.211111,0.211111,,,0
dep_cost_fat,0.176744,0.176744,0.176744,0.176744,0.176744,,,0
dep_cost_p,0.863636,0.863636,0.863636,0.863636,0.863636,,,0
desired_carbox,1620.514374,1635.844808,1636.950804,1637.883445,1638.665169,,,15.33043371
desired_fatox,979.4424539,1094.819863,1093.967991,1093.161674,1092.394475,,,115.3774095
desired_protox,400.0431719,507.5776122,506.9342222,506.3066321,505.6927498,,,107.5344404
df_b,137.6,137.6,137.6,137.6,137.6,,,0
diff_bw_ox_and_tee,0,0,0,0,0,,,0
dnl,88.23529412,88.23529412,90.59556228,92.64459358,94.41454735,,,0
dnl_b,88.23529412,88.23529412,88.23529412,88.23529412,88.23529412,,,0
dnl_i,9.346959123,9.346959123,9.59698753,9.81404593,10.00154103,,,0
dnl_out,21.10892204,21.10892204,21.67357949,22.16377837,22.58721229,,,0
ec,0,0,0,0,0,,,0
eff_c_dnl_b,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,,,0
eff_ci_on_gng_p,0,0,0,0,0,,,0
eff_of_carb_intake_on_carb_oxidation,3.31414,3.31414,3.31414,3.31414,3.31414,,,0
eff_of_carb_sufficiency_on_carbox,1,1,1,1,1,interp,"=numpy.interp(carb_sufficiency/oneday, __pts_x_0, __pts_y_0)",0
eff_of_glycogenolysis_on_carb_oxidation,0.568212941,0.568212941,0.572214606,0.575632346,0.578544184,,,0
